company_name,website,seed_category,has_public_pricing,pricing_url,has_free_trial,has_freemium,has_api_docs,api_docs_url,has_changelog,changelog_url,has_integrations_page,integrations_url,detected_analytics_tools,detected_product_analytics_tools,technographic_confidence,amplitude_detected,mixpanel_detected,posthog_detected,heap_detected,pendo_detected,segment_detected,ga4_detected,fullstory_detected,hotjar_detected,open_jobs_count,product_jobs_count,analytics_jobs_count,data_jobs_count,growth_jobs_count,ai_jobs_count,customer_success_jobs_count,product_ops_jobs_count,recent_product_launch_90d,most_recent_launch_date,recent_product_launches,recent_ai_announcement,product_led_growth_score,product_maturity_score,hiring_signal_score,ai_readiness_hiring_score,market_event_score,freshness_score,product_analytics_fit_score,global_agent_fit_score,expansion_intelligence_fit_score,overall_amplitude_fit_score_partial
Linear,https://linear.app,dev-tooling / cohort,True,https://linear.app/pricing,,True,True,https://linear.app/docs,True,https://linear.app/changelog,True,https://linear.app/integrations,"hotjar,posthog",posthog,0.89,,,True,,,,,,True,23,2,,,3,1,,,True,2026-05-14,20,True,67.0,100.0,10.2,2.0,100.0,100.0,86.8,80.0,64.1,60.4
Notion,https://notion.com,productivity / cohort / amplitude-customer,True,https://notion.com/pricing,True,True,True,https://notion.com/developers,True,https://notion.com/releases,True,https://notion.com/integrations,,,,,,,,,,,,,133,2,1,4,3,10,15,1,True,2026-05-13,10,True,100.0,100.0,41.6,40.0,65.0,100.0,70.0,93.3,62.6,76.0
Vercel,https://vercel.com,dev-platform / cohort,True,https://vercel.com/pricing,True,True,True,https://vercel.com/docs,True,https://vercel.com/changelog,True,https://vercel.com/marketplace,,,,,,,,,,,,,78,2,,,2,3,2,,True,2026-05-20,3,True,100.0,100.0,7.9,6.0,40.5,100.0,70.0,80.0,39.4,61.6
Webflow,https://webflow.com,no-code / cohort,True,https://webflow.com/pricing,True,,True,https://developers.webflow.com,True,https://webflow.com/enterprise,True,https://webflow.com/apps,,,,,,,,,,,,,35,1,,1,3,4,,,,,,,67.0,100.0,12.2,13.0,0.0,100.0,56.8,83.3,4.9,49.2
Retool,https://retool.com,internal-tools / cohort,True,https://retool.com/pricing,True,,True,https://docs.retool.com/,True,https://docs.retool.com/changelog,True,https://retool.com/build-enterprise-apps/apps,"google_tag_manager,segment",segment,0.75,,,,,,True,,,,,,,,,,,,True,2026-05-08,5,True,67.0,100.0,0.0,0.0,47.5,100.0,86.8,80.0,39.0,51.3
monday.com,https://monday.com,work-mgmt / cohort,True,https://monday.com/pricing,True,True,True,https://monday.com/workdocs,True,https://monday.com/whats-new,True,https://monday.com/marketplace,fullstory,,0.95,,,,,,,,True,,,,,,,,,,True,2026-05-17,11,True,100.0,100.0,0.0,0.0,68.5,100.0,70.0,80.0,47.4,62.9
Datadog,https://datadoghq.com,observability / cohort,True,https://www.datadoghq.com/pricing/,True,True,True,https://docs.datadoghq.com/api/,True,https://www.datadoghq.com/about/latest-news/press-releases/,True,https://www.datadoghq.com/marketplacepartners/,google_tag_manager,,0.85,,,,,,,,,,414,16,6,1,1,35,25,,,,,,100.0,100.0,55.0,75.0,0.0,100.0,70.0,83.3,22.0,74.7
Ramp,https://ramp.com,fintech / cohort,True,https://ramp.com/pricing,True,True,,,,,True,https://ramp.com/integrations,,,,,,,,,,,,,114,2,,2,7,10,7,,,,,,100.0,33.0,26.7,30.0,0.0,100.0,49.9,39.9,10.7,49.8
Brex,https://brex.com,fintech / cohort / wow-candidate,True,https://brex.com/pricing,,True,True,https://brex.com/product/api,True,https://brex.com/product-announcements,True,https://brex.com/product/integrations,google_tag_manager,,0.85,,,,,,,,,,231,22,5,5,14,12,10,,,,,,67.0,100.0,79.7,49.0,0.0,100.0,56.8,96.7,31.9,67.4
Intercom,https://intercom.com,support / cohort / wow-candidate,True,https://intercom.com/pricing,True,True,True,https://developers.intercom.com/,,,True,https://www.intercom.com/app-store,,,,,,,,,,,,,168,11,5,14,1,39,7,,True,2026-05-20,8,True,100.0,67.0,61.2,100.0,58.0,100.0,60.1,86.8,67.7,80.2
