company_name,domain,website,linkedin_url,seed_source,seed_category,notes
Linear,linear.app,https://linear.app,,seed_companies.py,dev-tooling / cohort,
Notion,notion.com,https://notion.com,,seed_companies.py,productivity / cohort / amplitude-customer,
Vercel,vercel.com,https://vercel.com,,seed_companies.py,dev-platform / cohort,
Webflow,webflow.com,https://webflow.com,,seed_companies.py,no-code / cohort,
Retool,retool.com,https://retool.com,,seed_companies.py,internal-tools / cohort,
monday.com,monday.com,https://monday.com,,seed_companies.py,work-mgmt / cohort,
Datadog,datadoghq.com,https://datadoghq.com,,seed_companies.py,observability / cohort,
Ramp,ramp.com,https://ramp.com,,seed_companies.py,fintech / cohort,
Brex,brex.com,https://brex.com,,seed_companies.py,fintech / cohort / wow-candidate,
Intercom,intercom.com,https://intercom.com,,seed_companies.py,support / cohort / wow-candidate,
Figma,figma.com,https://figma.com,,seed_companies.py,design / PLG,
Airtable,airtable.com,https://airtable.com,,seed_companies.py,no-code db / PLG,
Calendly,calendly.com,https://calendly.com,,seed_companies.py,scheduling / PLG,
Miro,miro.com,https://miro.com,,seed_companies.py,whiteboard / PLG,
ClickUp,clickup.com,https://clickup.com,,seed_companies.py,work-mgmt / PLG,
Asana,asana.com,https://asana.com,,seed_companies.py,work-mgmt / PLG,
Loom,loom.com,https://loom.com,,seed_companies.py,video / PLG,
Amplitude,amplitude.com,https://amplitude.com,,seed_companies.py,analytics / self-detect-control,
Mixpanel,mixpanel.com,https://mixpanel.com,,seed_companies.py,analytics / wow-candidate,
PostHog,posthog.com,https://posthog.com,,seed_companies.py,analytics / wow-candidate,
Pendo,pendo.io,https://pendo.io,,seed_companies.py,analytics / wow-candidate,
Heap,heap.io,https://heap.io,,seed_companies.py,analytics / wow-candidate,
Hotjar,hotjar.com,https://hotjar.com,,seed_companies.py,analytics / PLG,
Sentry,sentry.io,https://sentry.io,,seed_companies.py,observability / PLG,
Postman,postman.com,https://postman.com,,seed_companies.py,api-tooling / PLG,
